City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Airai,TL,2022-02-11 17:37:16,-8.9266,125.4092,60.42,94,100,0.54
261,Bogale,MM,2022-02-11 17:37:17,16.2833,95.4,68.38,70,32,7.23
262,Okoneshnikovo,RU,2022-02-11 17:37:17,54.8377,75.0834,-16.31,100,10,7.25
263,Oussouye,SN,2022-02-11 17:37:17,12.485,-16.5469,100.58,12,17,9.22
264,Ipixuna,BR,2022-02-11 17:37:18,-1.7625,-48.8043,84.15,57,96,4.54
265,Nenjiang,CN,2022-02-11 17:37:18,49.1833,125.2167,3.43,92,100,7.85
266,Kikwit,CD,2022-02-11 17:37:19,-5.041,18.8162,76.14,77,57,2.62
267,Kolobrzeg,PL,2022-02-11 17:37:19,54.1757,15.5834,39.96,72,87,22.1
268,Moron,AR,2022-02-11 17:38:19,-34.6534,-58.6198,82.29,56,100,17.27
269,Sinaloa,MX,2022-02-11 17:38:20,25.0,-107.5,76.1,37,0,2.51
270,Rafraf,TN,2022-02-11 17:38:20,37.1904,10.1837,53.92,78,85,8.66
271,Pisco,PE,2022-02-11 17:38:20,-13.7,-76.2167,77.05,61,0,11.5
272,Atambua,ID,2022-02-11 17:38:21,-9.1061,124.8925,73.54,89,100,1.86
273,Kargil,IN,2022-02-11 17:38:21,34.5667,76.1,-21.78,87,36,2.95
274,Ormond Beach,US,2022-02-11 17:38:21,29.2858,-81.0559,78.3,55,0,6.91
275,Savelugu,GH,2022-02-11 17:38:22,9.6244,-0.8253,93.16,8,18,3.69
276,La Ronge,CA,2022-02-11 17:38:22,55.1001,-105.2842,-19.95,57,40,1.14
277,Pangai,TO,2022-02-11 17:38:22,-19.8,-174.35,80.71,78,20,6.91
278,Tabou,CI,2022-02-11 17:38:23,4.423,-7.3528,82.71,71,53,6.73
279,Inongo,CD,2022-02-11 17:38:23,-1.95,18.2667,81.32,53,41,5.28
280,Trairi,BR,2022-02-11 17:38:24,-3.2778,-39.2689,85.17,64,8,11.39
281,Polunochnoye,RU,2022-02-11 17:38:24,60.8697,60.4153,7.84,94,100,8.63
282,Bilma,NE,2022-02-11 17:38:24,18.6853,12.9164,68.92,16,0,6.38
283,Cockburn Town,TC,2022-02-11 17:38:25,21.4612,-71.1419,84.16,61,40,11.5
284,Yola,NG,2022-02-11 17:38:25,9.2,12.4833,83.43,8,10,4.14
285,Kathmandu,NP,2022-02-11 17:38:26,27.7167,85.3167,46.62,81,20,2.3
286,Tuatapere,NZ,2022-02-11 17:38:26,-46.1333,167.6833,52.83,85,89,6.44
287,Tigil,RU,2022-02-11 17:38:26,57.8,158.6667,-20.09,100,72,1.54
288,Baft,IR,2022-02-11 17:38:27,29.234,56.6057,44.38,29,0,4.21
289,Nouakchott,MR,2022-02-11 17:38:27,18.0858,-15.9785,87.73,21,52,17.63
290,Bambanglipuro,ID,2022-02-11 17:38:28,-7.95,110.2833,77.4,86,100,0.58
291,Estelle,US,2022-02-11 17:38:28,29.8458,-90.1067,68.0,40,0,6.91
292,Gusinoye Ozero,RU,2022-02-11 17:38:28,51.1144,106.2614,-17.12,97,74,2.04
293,Nouadhibou,MR,2022-02-11 17:38:29,20.931,-17.0347,85.98,21,90,11.5
